alias,current,kind,effective,source,note
北村,岩見沢市,merger,2006-03-27,hokkaido-gappei,
栗沢町,岩見沢市,merger,2006-03-27,hokkaido-gappei,
上磯町,北斗市,merger,2006-02-01,hokkaido-gappei,
大野町,北斗市,merger,2006-02-01,hokkaido-gappei,
門別町,日高町,merger,2006-03-01,hokkaido-gappei,
静内町,新ひだか町,merger,2006-03-31,hokkaido-gappei,
三石町,新ひだか町,merger,2006-03-31,hokkaido-gappei,
浜益村,石狩市,merger,2005-10-01,hokkaido-gappei,
厚田村,石狩市,merger,2005-10-01,hokkaido-gappei,
端野町,北見市,merger,2006-03-05,hokkaido-gappei,
常呂町,北見市,merger,2006-03-05,hokkaido-gappei,
留辺蘂町,北見市,merger,2006-03-05,hokkaido-gappei,
留辺蕊町,北見市,merger,2006-03-05,hokkaido-gappei,留辺蘂町の異体字
女満別町,大空町,merger,2006-03-31,hokkaido-gappei,
東藻琴村,大空町,merger,2006-03-31,hokkaido-gappei,
穂別町,むかわ町,merger,2006-03-27,hokkaido-gappei,
鵡川町,むかわ町,merger,2006-03-27,hokkaido-gappei,
追分町,安平町,merger,2006-03-27,hokkaido-gappei,
早来町,安平町,merger,2006-03-27,hokkaido-gappei,
上湧別町,湧別町,merger,2009-10-05,hokkaido-gappei,
北檜山町,せたな町,merger,2005-09-01,hokkaido-gappei,
北桧山町,せたな町,merger,2005-09-01,hokkaido-gappei,北檜山町の異体字
北檜山,せたな町,merger,2005-09-01,hokkaido-gappei,北檜山町の「町」の脱落
瀬棚町,せたな町,merger,2005-09-01,hokkaido-gappei,
大成町,せたな町,merger,2005-09-01,hokkaido-gappei,
南茅部町,函館市,merger,2004-12-01,hokkaido-gappei,
戸井町,函館市,merger,2004-12-01,hokkaido-gappei,
恵山町,函館市,merger,2004-12-01,hokkaido-gappei,
椴法華村,函館市,merger,2004-12-01,hokkaido-gappei,
虻田町,洞爺湖町,merger,2006-03-27,hokkaido-gappei,
洞爺村,洞爺湖町,merger,2006-03-27,hokkaido-gappei,
風連町,名寄市,merger,2006-03-27,hokkaido-gappei,
生田原町,遠軽町,merger,2005-10-01,hokkaido-gappei,
丸瀬布町,遠軽町,merger,2005-10-01,hokkaido-gappei,
白滝村,遠軽町,merger,2005-10-01,hokkaido-gappei,
音別町,釧路市,merger,2005-10-11,hokkaido-gappei,
阿寒町,釧路市,merger,2005-10-11,hokkaido-gappei,
忠類村,幕別町,merger,2006-02-06,hokkaido-gappei,
朝日町,士別市,merger,2005-09-01,hokkaido-gappei,
砂原町,森町,merger,2005-04-01,hokkaido-gappei,
歌登町,枝幸町,merger,2006-03-20,hokkaido-gappei,
熊石町,八雲町,merger,2005-10-01,hokkaido-gappei,
大滝村,伊達市,merger,2006-03-01,hokkaido-gappei,
石狩町,石狩市,city,1996-09-01,ishikari-nenpyo,市制施行
広島町,北広島市,city,1996-09-01,ishikari-nenpyo,市制施行、同時に北広島市に改称
中央区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
北区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
東区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
白石区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
厚別区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
豊平区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
清田区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
南区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
西区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
手稲区,札幌市,ward,,,札幌市の区 (「札幌市」の記載なし)
上ノ国,上ノ国町,variant,,,上ノ国町の「町」の脱落
